,Instrument,TRBC Economic Sector Name,ESG Combined Score,Region of Headquarters
254,O.N,Real Estate,79.3105555098061,Americas
255,MLM.N,Basic Materials,42.0091565712149,Americas
256,RVTY.N,Healthcare,72.4744027086077,Americas
257,L.N,Financials,38.449563607005,Americas
258,QCOM.OQ,Technology,52.9615734443279,Americas
259,IPG.N,Consumer Cyclicals,66.1910857223065,Americas
260,PHM.N,Consumer Cyclicals,35.9683818648411,Americas
261,ANSS.OQ,Technology,56.5106692499429,Americas
262,ULTA.OQ,Consumer Cyclicals,45.9049486320558,Americas
263,KO.N,Consumer Non-Cyclicals,44.7485079613078,Americas
264,CSCO.OQ,Technology,53.6971819786307,Americas
265,WTW.OQ,Financials,64.5751378925207,Europe
266,ANET.N,Technology,56.7310092812366,Americas
267,ES.N,Utilities,55.2213983735794,Americas
268,CTAS.OQ,Industrials,62.119930189866,Americas
269,GPN.N,Industrials,27.7084377129604,Americas
270,RSG.N,Industrials,80.3496539503101,Americas
271,LIN.OQ,Basic Materials,80.4388078600927,Europe
272,MCK.N,Healthcare,40.2266397898647,Americas
273,HLT.N,Consumer Cyclicals,47.8295466074118,Americas
274,NFLX.OQ,Technology,21.5022696128341,Americas
275,FI.N,Industrials,52.8975063323321,Americas
276,RF.N,Financials,77.600585347811,Americas
277,WMT.N,Consumer Non-Cyclicals,41.2404554331168,Americas
278,AMGN.OQ,Healthcare,42.7245370358465,Americas
279,KIM.N,Real Estate,82.3927956261804,Americas
280,DG.N,Consumer Cyclicals,25.8542315592478,Americas
281,EQR.N,Real Estate,64.0017138560903,Americas
282,URI.N,Industrials,78.0544637480547,Americas
283,TDG.N,Industrials,44.8758853130868,Americas
284,CNC.N,Healthcare,54.6020951698935,Americas
285,NKE.N,Consumer Cyclicals,39.6874090433551,Americas
286,AES.N,Utilities,74.7232972981513,Americas
287,ELV.N,Healthcare,80.8320651616845,Americas
288,GWW.N,Industrials,75.8952309362852,Americas
289,K.N,Consumer Non-Cyclicals,53.2739255809124,Americas
290,GOOGL.OQ,Technology,40.856670522788,Americas
291,GM.N,Consumer Cyclicals,40.5213551584838,Americas
292,CCI.N,Real Estate,68.0451969864847,Americas
293,COF.N,Financials,45.4418180055889,Americas
294,C.N,Financials,44.5985343936732,Americas
295,ODFL.OQ,Industrials,34.7312126830171,Americas
296,A.N,Healthcare,81.7321003462614,Americas
297,MOH.N,Healthcare,51.0650290133577,Americas
298,GS.N,Financials,43.7924615502786,Americas
299,MET.N,Financials,51.1708763826171,Americas
300,WYNN.OQ,Consumer Cyclicals,53.6912313007646,Americas
301,PSA.N,Real Estate,73.397432960744,Americas
302,CPT.N,Real Estate,59.7544388484451,Americas
303,GDDY.N,Technology,53.2487851923746,Americas
304,MRNA.OQ,Healthcare,53.9854481875085,Americas
305,BK.N,Financials,46.9891716294884,Americas
306,FAST.OQ,Industrials,63.275619767238,Americas
307,LDOS.N,Technology,77.9784241202784,Americas
308,ORLY.OQ,Consumer Cyclicals,42.0664196995249,Americas
309,CSX.OQ,Industrials,40.7985628738124,Americas
310,CFG.N,Financials,60.2847718211138,Americas
311,NI.N,Utilities,62.8128018620391,Americas
312,MO.N,Consumer Non-Cyclicals,65.5197756311811,Americas
313,DD.N,Basic Materials,38.9153164976566,Americas
314,AEP.OQ,Utilities,76.3456766566766,Americas
315,HOLX.OQ,Healthcare,58.4737217455585,Americas
316,BX.N,Financials,23.9355976709702,Americas
317,BBY.N,Consumer Cyclicals,44.3461268454847,Americas
318,LHX.N,Industrials,66.7629998290526,Americas
319,APA.OQ,Energy,59.9417381116091,Americas
320,IFF.N,Consumer Non-Cyclicals,58.9956737167978,Americas
321,CEG.OQ,Utilities,59.1027732176878,Americas
322,STT.N,Financials,54.7872322095166,Americas
323,JCI.N,Industrials,51.2100346517092,Europe
324,FE.N,Utilities,40.8612586966715,Americas
325,PNC.N,Financials,56.4573540460962,Americas
326,VZ.N,Technology,38.1906741096717,Americas
327,NEM.N,Basic Materials,81.5659433407458,Americas
328,ROL.N,Industrials,26.0155369140393,Americas
329,KEY.N,Financials,39.2091699302388,Americas
330,GIS.N,Consumer Non-Cyclicals,46.1131591420528,Americas
331,CMCSA.OQ,Technology,46.3172730504061,Americas
332,VLTO.N,Industrials,71.0789731452619,Americas
333,PFE.N,Healthcare,41.0619285660353,Americas
334,EIX.N,Utilities,45.6948684067022,Americas
335,NWS.OQ,Consumer Cyclicals,38.9981783118379,Americas
336,MU.OQ,Technology,52.0917556629379,Americas
337,UPS.N,Industrials,31.6857011964409,Americas
338,SOLV.N,Healthcare,,Americas
339,TYL.N,Technology,63.661418777339,Americas
340,UNP.N,Industrials,49.4325920154544,Americas
341,BAC.N,Financials,45.2477524435219,Americas
342,KMX.N,Consumer Cyclicals,47.4474486975706,Americas
343,PARA.OQ,Consumer Cyclicals,39.8694321046808,Americas
344,IP.N,Basic Materials,36.306076644731,Americas
345,MDT.N,Healthcare,40.3834118607707,Europe
346,MMM.N,Consumer Non-Cyclicals,49.3736093561046,Americas
347,CZR.OQ,Consumer Cyclicals,46.8104168216958,Americas
348,UBER.N,Technology,40.4212347380604,Americas
349,INTU.OQ,Technology,75.5652102327116,Americas
350,OKE.N,Energy,71.8006300761101,Americas
351,ADP.OQ,Technology,68.2401772353154,Americas
352,EQIX.OQ,Real Estate,47.0655896811147,Americas
353,CHD.N,Consumer Non-Cyclicals,71.7191286879887,Americas
354,MTD.N,Technology,50.5233001449806,Americas
355,KDP.OQ,Consumer Non-Cyclicals,67.3409140521825,Americas
356,EBAY.OQ,Technology,38.6128252348863,Americas
357,PEG.N,Utilities,58.1211631068056,Americas
358,BIIB.OQ,Healthcare,44.1291003523339,Americas
359,CTSH.OQ,Technology,55.5432621493077,Americas
360,ALB.N,Basic Materials,72.3627013731857,Americas
361,TRGP.N,Energy,59.2321164173055,Americas
362,NCLH.N,Consumer Cyclicals,74.583523109687,Americas
363,PLTR.OQ,Technology,20.4043450015964,Americas
364,UDR.N,Real Estate,69.1641711368715,Americas
365,DGX.N,Healthcare,68.2087717005397,Americas
366,CBOE.Z,Financials,66.9383233929479,Americas
367,HIG.N,Financials,79.1984678639701,Americas
368,ACGL.OQ,Financials,59.0170090881364,Americas
369,NDSN.OQ,Industrials,66.7677127921382,Americas
370,VRSK.OQ,Technology,57.9870936292124,Americas
371,GEV.N,Utilities,,Americas
372,AMT.N,Real Estate,83.6004821274075,Americas
373,PYPL.OQ,Industrials,44.8404835546962,Americas
374,CAG.N,Consumer Non-Cyclicals,49.0939328222721,Americas
375,UHS.N,Healthcare,45.8714534292699,Americas
376,TFX.N,Healthcare,57.7646183221661,Americas
377,SYF.N,Financials,55.8256956511434,Americas
378,WAT.N,Healthcare,80.8857236640862,Americas
379,INCY.OQ,Healthcare,56.2016965398394,Americas
380,LRCX.OQ,Technology,71.2151889584552,Americas
381,IDXX.OQ,Healthcare,71.3489312349961,Americas
382,PPG.N,Basic Materials,76.1683136818578,Americas
383,LKQ.OQ,Consumer Cyclicals,49.8444114639504,Americas
384,BG.N,Consumer Non-Cyclicals,73.0286113861114,Americas
385,HES.N,Energy,52.6100553572076,Americas
386,EOG.N,Energy,51.1662251726053,Americas
387,MAR.OQ,Consumer Cyclicals,40.9531365766675,Americas
388,TJX.N,Consumer Cyclicals,48.8326507477367,Americas
389,MNST.OQ,Consumer Non-Cyclicals,40.199917088699,Americas
390,VMC.N,Basic Materials,39.1269287894092,Americas
391,EW.N,Healthcare,41.6573497038955,Americas
392,ALL.N,Financials,56.1632443983971,Americas
393,BMY.N,Healthcare,59.6661909848373,Americas
394,VST.N,Utilities,62.3230930466642,Americas
395,APH.N,Technology,73.5709548117371,Americas
396,HON.OQ,Consumer Non-Cyclicals,55.6452278292357,Americas
397,GPC.N,Consumer Cyclicals,52.9817946163655,Americas
398,MHK.N,Consumer Cyclicals,63.7318506209043,Americas
399,MCHP.OQ,Technology,63.6903168731747,Americas
400,CAT.N,Industrials,51.7207702497895,Americas
401,PG.N,Consumer Non-Cyclicals,34.9018761301041,Americas
402,ZTS.N,Healthcare,70.1731235528575,Americas
403,STE.N,Healthcare,54.5165710365604,Europe
404,TPL.N,Energy,43.7431546750706,Americas
405,BKR.OQ,Energy,81.6696160155351,Americas
406,AFL.N,Financials,49.0799895341542,Americas
407,PTC.OQ,Technology,63.5450111324537,Americas
408,FITB.OQ,Financials,67.8860989825334,Americas
409,MSI.N,Technology,76.7221728672142,Americas
410,XEL.OQ,Utilities,48.637874741683,Americas
411,HSIC.OQ,Healthcare,68.5227723111869,Americas
412,ITW.N,Consumer Non-Cyclicals,63.3240013389251,Americas
413,WST.N,Healthcare,80.0118416400125,Americas
414,DFS.N,Financials,30.0312336237536,Americas
415,APTV.N,Consumer Cyclicals,62.0118705638786,Europe
416,MPC.N,Energy,43.8395871255607,Americas
417,PGR.N,Financials,58.3811621668221,Americas
418,ICE.N,Financials,54.1891102397679,Americas
419,KMB.N,Consumer Non-Cyclicals,56.2341862363114,Americas
420,SWKS.OQ,Technology,57.6105411195425,Americas
421,ABNB.OQ,Technology,30.2706586512031,Americas
422,EL.N,Consumer Non-Cyclicals,45.4784529255072,Americas
423,TSLA.OQ,Consumer Cyclicals,36.6089220185235,Americas
424,EXR.N,Real Estate,63.0773539189361,Americas
425,SPGI.N,Industrials,81.1666878205777,Americas
426,KKR.N,Financials,40.4493028707759,Americas
427,ADBE.OQ,Technology,41.4831617092321,Americas
428,ADSK.OQ,Technology,55.8302439173907,Americas
429,FOXA.OQ,Consumer Cyclicals,34.2877749375499,Americas
430,TT.N,Industrials,78.9759851778221,Europe
431,TSN.N,Consumer Non-Cyclicals,35.3735608037691,Americas
432,AKAM.OQ,Technology,70.4763246694152,Americas
433,LUV.N,Industrials,41.2030445988238,Americas
434,INVH.N,Real Estate,51.3310356584614,Americas
435,TSCO.OQ,Consumer Cyclicals,51.1525761241401,Americas
436,AON.N,Financials,59.5661605087063,Europe
437,AMZN.OQ,Consumer Cyclicals,40.7097898584117,Americas
438,MS.N,Financials,40.0597780054585,Americas
439,BRKb.N,Consumer Non-Cyclicals,23.3335808535867,Americas
440,GOOG.OQ,Technology,40.856670522788,Americas
441,KR.N,Consumer Non-Cyclicals,41.6143677953279,Americas
442,BKNG.OQ,Consumer Cyclicals,37.2469234151176,Americas
443,STZ.N,Consumer Non-Cyclicals,36.8353520542923,Americas
444,WBD.OQ,Consumer Cyclicals,34.2461110400033,Americas
445,ABBV.N,Healthcare,41.2023241518207,Americas
446,STLD.OQ,Basic Materials,58.9634304614276,Americas
447,MA.N,Technology,38.0830388426978,Americas
448,XOM.N,Energy,35.4883536775129,Americas
449,SWK.N,Industrials,37.1113502265257,Americas
450,FICO.N,Technology,44.0328432475797,Americas
451,HRL.N,Consumer Non-Cyclicals,48.7117039922683,Americas
452,INTC.OQ,Technology,47.5999769203534,Americas
453,TRMB.OQ,Technology,56.6115603921007,Americas
454,WBA.OQ,Consumer Non-Cyclicals,50.7944546606241,Americas
455,OMC.N,Consumer Cyclicals,69.4660581408639,Americas
456,GLW.N,Technology,48.9794668086429,Americas
457,CRM.N,Technology,58.1167332264048,Americas
458,SBUX.OQ,Consumer Cyclicals,37.2968997447937,Americas
459,ATO.N,Utilities,34.0876119854802,Americas
460,ETR.N,Utilities,50.6193930598374,Americas
461,HAL.N,Energy,50.8110215230001,Americas
462,TFC.N,Financials,47.9614524047359,Americas
463,TAP.N,Consumer Non-Cyclicals,38.8261615325567,Americas
464,ABT.N,Healthcare,46.0287007316829,Americas
465,V.N,Technology,35.0273290366194,Americas
466,YUM.N,Consumer Cyclicals,48.8096741861864,Americas
467,LYV.N,Consumer Cyclicals,21.6001229503547,Americas
468,CPB.OQ,Consumer Non-Cyclicals,48.4498125806752,Americas
469,JNPR.N,Technology,70.2788322002307,Americas
470,EG.N,Financials,52.969593890229,Americas
471,FTNT.OQ,Technology,55.7044289829502,Americas
472,DTE.N,Utilities,70.5382737707021,Americas
473,HST.OQ,Real Estate,84.9963406501324,Americas
474,IRM.N,Real Estate,72.0561512932578,Americas
475,DOC.N,Real Estate,82.4830394473997,Americas
476,FIS.N,Technology,31.0947550092522,Americas
477,DAL.N,Industrials,35.8490583351793,Americas
478,ROK.N,Industrials,62.0856452106376,Americas
479,DOW.N,Basic Materials,60.5198337704564,Americas
480,PPL.N,Utilities,62.7795402127263,Americas
481,NTRS.OQ,Financials,72.246871759068,Americas
482,ETN.N,Industrials,53.0478007208951,Europe
483,CVX.N,Energy,36.4954712706315,Americas
484,CI.N,Healthcare,50.5338221350447,Americas
485,ACN.N,Technology,81.6029324354451,Europe
486,CRWD.OQ,Technology,24.8445630809936,Americas
487,PANW.OQ,Technology,28.0604573922253,Americas
488,XYL.N,Industrials,82.2408404217419,Americas
489,HAS.OQ,Consumer Cyclicals,54.743555415974,Americas
490,ENPH.OQ,Energy,39.2267872836893,Americas
491,SO.N,Utilities,64.2973270093927,Americas
492,CTLT.N,Healthcare,40.3809884032541,Americas
493,EQT.N,Energy,40.8778050064778,Americas
494,NRG.N,Utilities,54.5182458644958,Americas
495,MKTX.OQ,Financials,60.2266134132309,Americas
496,LMT.N,Industrials,56.4391752835401,Americas
497,DLR.N,Real Estate,66.7260103132125,Americas
498,PSX.N,Energy,44.6635771226965,Americas
499,SCHW.N,Financials,48.1994235753557,Americas
500,SNPS.OQ,Technology,60.6718434878219,Americas
501,J.N,Industrials,62.1193106745813,Americas
502,AVY.N,Basic Materials,74.1375875170287,Americas
